Gn;SiO2;Al2O3;Fe2O3;CaO;SO3;K2O;Na2O;Dansite;s.CaO;C3S;C2S;C3A;C4AF;Alk Eq.;Toplam Alkali;Blaine;1 Gn;2 Gn;7 Gn;28 Gn
13.01.2023;21,19;5,91;3,62;66,43;0,71;0,43;0,08;1127;1,00;58,41;16,71;9,54;11,02;0,36;0,55;3044;15,20;24,30;39,80;55,90
14.01.2023;20,78;6,05;3,49;66,94;0,61;0,42;0,07;1128;0,99;63,17;11,95;10,13;10,62;0,35;0,53;3096;16,00;26,00;42,10;57,30
15.01.2023;20,93;5,92;3,44;67,16;0,49;0,39;0,07;1162;1,01;64,13;11,65;9,87;10,47;0,33;0,50;3099;16,20;26,80;42,30;59,00
16.01.2023;20,99;5,99;3,54;66,80;0,57;0,41;0,07;1148;0,79;62,26;13,23;9,89;10,77;0,34;0,52;2982;14,10;24,20;41,50;57,90
17.01.2023;21,04;6,06;3,53;66,56;0,63;0,42;0,08;1189;0,62;60,97;14,35;10,09;10,74;0,36;0,54;3090;14,40;24,80;40,80;55,00
18.01.2023;21,20;6,01;3,45;66,59;0,57;0,44;0,08;1233;0,50;60,99;14,80;10,10;10,50;0,37;0,56;3042;14,60;23,60;41,90;59,40
19.01.2023;20,77;5,48;3,48;67,34;0,71;0,45;0,05;1178;0,66;69,78;6,94;8,64;10,59;0,35;0,53;3019;15,80;24,80;43,40;56,20
20.01.2023;20,99;5,57;3,60;66,89;0,70;0,45;0,06;1240;0,70;65,36;10,90;8,68;10,95;0,36;0,54;3006;13,20;24,90;41,60;57,30
21.01.2023;20,83;5,45;3,88;66,81;0,78;0,44;0,05;1167;0,65;66,63;9,48;7,89;11,81;0,34;0,52;2987;13,40;23,60;40,70;58,20
22.01.2023;20,79;5,47;3,85;66,68;0,83;0,48;0,11;1203;0,82;65,48;10,23;7,99;11,72;0,43;0,65;3065;14,00;24,90;42,60;58,80
23.01.2023;20,55;5,68;4,00;66,76;0,76;0,47;0,05;1224;0,77;66,41;8,84;8,29;12,17;0,36;0,55;3018;13,30;24,40;40,70;57,30
24.01.2023;20,95;5,65;3,90;66,51;0,74;0,46;0,05;1255;0,52;63,77;11,98;8,38;11,87;0,35;0,54;2978;14,30;23,90;39,30;56,30
25.01.2023;20,87;5,61;3,80;66,75;0,68;0,45;0,09;1260;0,62;65,53;10,42;8,44;11,56;0,39;0,59;3022;14,60;25,50;43,20;59,70
26.01.2023;20,94;5,39;3,79;67,14;0,64;0,38;0,08;1197;0,66;68,03;8,74;7,88;11,53;0,33;0,50;3032;14,10;24,00;43,90;58,90
27.01.2023;21,07;5,50;3,96;66,70;0,65;0,38;0,04;1182;0,59;64,53;11,75;7,88;12,05;0,29;0,44;2987;13,50;23,50;38,50;55,90
28.01.2023;21,19;5,66;4,06;66,36;0,66;0,37;0,08;1222;0,59;60,98;14,77;8,14;12,35;0,32;0,49;2989;14,20;23,50;40,50;57,30
29.01.2023;21,04;5,81;3,99;66,52;0,62;0,36;0,12;1243;0,48;62,43;13,25;8,65;12,14;0,36;0,54;3034;14,00;23,10;38,70;58,10
30.01.2023;21,29;5,63;3,76;66,66;0,66;0,38;0,05;1208;0,56;62,20;14,14;8,57;11,44;0,30;0,46;3028;14,90;23,70;41,20;58,30
31.01.2023;20,87;5,57;3,86;66,83;0,76;0,40;0,11;1176;0,74;65,32;10,58;8,24;11,75;0,37;0,57;2993;14,80;24,40;42,40;58,90
01.02.2023;20,87;5,46;3,90;66,78;0,82;0,40;0,06;1180;0,64;66,04;10,04;7,88;11,87;0,32;0,49;3055;13,50;23,80;41,60;58,90
02.02.2023;20,69;5,72;4,04;66,48;0,85;0,40;0,07;1213;0,72;63,83;11,19;8,33;12,29;0,33;0,51;3009;13,40;23,60;41,20;57,60
03.02.2023;20,78;5,51;4,06;66,64;0,88;0,39;0,05;1192;0,73;65,05;10,53;7,74;12,35;0,31;0,47;3000;13,20;23,20;39,20;56,70
04.02.2023;20,82;5,79;3,97;66,44;0,80;0,42;0,09;1205;0,58;63,02;12,18;8,63;12,08;0,37;0,56;3009;14,70;23,00;39,70;54,80
05.02.2023;21,06;5,94;3,89;66,06;0,77;0,45;0,05;1241;0,48;59,25;15,71;9,17;11,84;0,35;0,53;3021;13,80;23,30;37,50;57,10
06.02.2023;20,98;5,69;3,81;66,31;0,91;0,43;0,11;1269;0,55;61,98;13,41;8,64;11,59;0,39;0,60;3095;13,80;22,90;37,90;56,40
07.02.2023;20,77;5,47;3,93;66,89;0,78;0,40;0,08;1181;0,69;67,05;8,99;7,85;11,96;0,34;0,52;3010;12,40;23,00;38,70;56,40
08.02.2023;21,05;5,55;3,82;66,67;0,77;0,42;0,06;1219;0,50;64,45;11,76;8,25;11,62;0,34;0,51;2990;12,90;22,30;38,80;56,60
09.02.2023;;;;;;;;;;;;;;;;;;;;
10.02.2023;;;;;;;;;;;;;;;;;;;;
11.02.2023;;;;;;;;;;;;;;;;;;;;
12.02.2023;;;;;;;;;;;;;;;;;;;;
13.02.2023;;;;;;;;;;;;;;;;;;;;
14.02.2023;;;;;;;;;;;;;;;;;;;;
15.02.2023;;;;;;;;;;;;;;;;;;;;
16.02.2023;;;;;;;;;;;;;;;;;;;;
17.02.2023;;;;;;;;;;;;;;;;;;;;
18.02.2023;;;;;;;;;;;;;;;;;;;;
19.02.2023;;;;;;;;;;;;;;;;;;;;
20.02.2023;;;;;;;;;;;;;;;;;;;;
21.02.2023;;;;;;;;;;;;;;;;;;;;
22.02.2023;;;;;;;;;;;;;;;;;;;;
23.02.2023;;;;;;;;;;;;;;;;;;;;
24.02.2023;;;;;;;;;;;;;;;;;;;;
25.02.2023;;;;;;;;;;;;;;;;;;;;
26.02.2023;;;;;;;;;;;;;;;;;;;;
27.02.2023;;;;;;;;;;;;;;;;;;;;
28.02.2023;;;;;;;;;;;;;;;;;;;;
01.03.2023;;;;;;;;;;;;;;;;;;;;
02.03.2023;;;;;;;;;;;;;;;;;;;;
03.03.2023;;;;;;;;;;;;;;;;;;;;
04.03.2023;;;;;;;;;;;;;;;;;;;;
05.03.2023;;;;;;;;;;;;;;;;;;;;
06.03.2023;;;;;;;;;;;;;;;;;;;;
07.03.2023;;;;;;;;;;;;;;;;;;;;
08.03.2023;;;;;;;;;;;;;;;;;;;;
09.03.2023;;;;;;;;;;;;;;;;;;;;
10.03.2023;;;;;;;;;;;;;;;;;;;;
11.03.2023;;;;;;;;;;;;;;;;;;;;
12.03.2023;;;;;;;;;;;;;;;;;;;;
13.03.2023;;;;;;;;;;;;;;;;;;;;
14.03.2023;;;;;;;;;;;;;;;;;;;;
15.03.2023;;;;;;;;;;;;;;;;;;;;
16.03.2023;;;;;;;;;;;;;;;;;;;;
17.03.2023;;;;;;;;;;;;;;;;;;;;
18.03.2023;20,97;5,93;3,60;66,30;0,95;0,42;0,09;1206;0,69;60,02;14,86;9,63;10,95;0,37;0,56;2986;15,80;23,70;39,80;55,90
19.03.2023;21,40;5,35;3,73;66,25;0,90;0,41;0,09;1167;0,54;61,01;15,35;7,87;11,35;0,36;0,55;3017;14,30;24,00;38,50;55,10
20.03.2023;20,92;5,94;3,38;66,48;0,94;0,52;0,10;1187;0,58;61,86;13,34;10,03;10,29;0,44;0,67;3053;15,50;23,60;39,90;56,30
21.03.2023;20,99;5,97;3,44;66,25;1,04;0,50;0,06;1125;0,60;59,74;15,14;10,01;10,47;0,39;0,59;2988;14,40;23,50;41,40;57,40
22.03.2023;21,15;6,13;3,40;66,20;0,86;0,51;0,09;1171;0,55;58,01;16,89;10,50;10,35;0,43;0,65;2970;14,40;23,60;40,20;54,60
23.03.2023;20,98;6,07;3,39;66,51;0,82;0,51;0,07;1164;0,55;61,10;14,08;10,36;10,32;0,41;0,62;3004;13,50;23,40;40,60;54,40
24.03.2023;21,07;6,12;3,32;66,52;0,73;0,49;0,09;1187;0,51;60,64;14,68;10,61;10,10;0,41;0,63;3014;13,20;24,50;41,70;58,50
25.03.2023;21,18;5,49;3,36;67,09;0,71;0,48;0,05;1132;0,61;65,95;11,00;8,87;10,22;0,37;0,56;3027;14,90;24,00;41,40;54,70
26.03.2023;20,92;6,01;3,44;66,77;0,71;0,45;0,09;1125;0,69;62,69;12,71;10,11;10,47;0,39;0,59;3009;14,40;23,30;41,80;56,30
27.03.2023;20,97;5,98;3,48;66,84;0,62;0,44;0,07;1157;0,71;62,91;12,68;9,97;10,59;0,36;0,55;3037;14,00;24,60;43,80;57,70
28.03.2023;21,12;5,51;3,53;66,92;0,73;0,47;0,08;1148;0,63;65,20;11,39;8,64;10,74;0,39;0,59;3027;15,80;25,60;42,90;59,40
29.03.2023;20,86;6,01;3,56;66,66;0,73;0,44;0,09;1150;0,58;62,92;12,37;9,91;10,83;0,38;0,58;3000;13,70;23,50;40,20;55,40
30.03.2023;21,10;5,89;3,41;66,83;0,65;0,43;0,08;1175;0,65;62,75;13,18;9,85;10,38;0,36;0,55;3032;12,60;22,60;38,90;54,20
31.03.2023;21,32;5,96;3,61;66,49;0,59;0,41;0,10;1183;0,53;59,60;16,19;9,69;10,99;0,37;0,56;3064;12,50;22,10;36,50;55,30
01.04.2023;21,24;6,12;3,39;66,38;0,64;0,52;0,07;1198;0,50;58,98;16,43;10,49;10,32;0,41;0,63;3004;13,80;23,20;38,10;53,30
02.04.2023;20,93;6,20;3,44;66,51;0,69;0,53;0,09;1194;0,54;60,95;14,05;10,62;10,47;0,44;0,67;3092;15,70;24,50;38,50;53,40
03.04.2023;21,22;6,24;3,25;66,20;0,80;0,54;0,07;1200;0,55;57,13;17,76;11,04;9,89;0,43;0,65;3037;14,90;23,60;36,60;53,70
04.04.2023;21,18;5,95;3,11;66,53;0,88;0,53;0,07;1165;0,65;60,29;15,26;10,51;9,46;0,42;0,64;3027;14,40;23,00;38,70;53,20
05.04.2023;21,36;5,63;3,33;66,41;0,87;0,54;0,05;1168;0,54;60,75;15,44;9,29;10,13;0,41;0,62;2994;15,80;23,80;36,70;52,30
06.04.2023;21,23;5,69;3,54;66,36;0,86;0,53;0,04;1136;0,71;60,16;15,50;9,10;10,77;0,39;0,59;2980;15,50;23,50;36,20;51,40
07.04.2023;21,16;5,51;3,44;66,53;0,92;0,52;0,04;1154;0,62;62,94;13,21;8,79;10,47;0,38;0,58;2987;14,60;23,70;39,30;54,60
08.04.2023;21,14;5,71;3,52;66,65;0,79;0,49;0,04;1177;0,55;62,77;13,28;9,18;10,71;0,36;0,55;3029;14,00;22,00;38,60;52,90
09.04.2023;21,14;5,49;3,70;66,61;0,87;0,44;0,05;1165;0,59;63,44;12,77;8,30;11,26;0,34;0,52;2992;14,00;22,60;38,50;56,50
10.04.2023;20,93;5,61;3,81;66,34;1,14;0,45;0,05;1165;0,55;62,37;12,98;8,43;11,59;0,35;0,53;2984;14,70;22,50;36,90;54,20
11.04.2023;20,89;5,54;3,72;66,80;0,95;0,44;0,04;1151;0,67;65,20;10,73;8,39;11,32;0,33;0,50;2973;15,20;23,30;36,80;53,60
12.04.2023;21,09;5,56;3,66;66,53;0,95;0,49;0,04;1140;0,64;62,65;13,23;8,55;11,14;0,36;0,55;3006;14,50;21,70;32,70;49,20
13.04.2023;20,75;5,41;3,69;66,83;1,04;0,47;0,07;1123;1,07;65,41;10,17;8,10;11,23;0,38;0,58;2988;15,80;23,60;39,80;53,50
14.04.2023;20,92;5,63;3,72;66,33;1,07;0,51;0,06;1156;0,99;60,80;14,13;8,63;11,32;0,40;0,60;2975;15,50;23,60;38,00;54,60
15.04.2023;21,14;5,66;3,61;66,14;1,07;0,55;0,05;1174;0,56;60,07;15,32;8,90;10,99;0,41;0,63;2966;14,20;22,50;36,20;51,80
16.04.2023;21,01;5,63;3,64;66,40;1,04;0,55;0,04;1166;0,58;62,27;13,28;8,77;11,08;0,40;0,61;2975;15,00;23,70;38,00;52,60
17.04.2023;20,77;5,63;3,58;66,72;0,98;0,51;0,10;1164;0,74;65,01;10,53;8,87;10,89;0,44;0,66;3085;15,80;25,50;41,60;54,50
18.04.2023;21,07;5,70;3,50;66,36;1,02;0,54;0,05;1197;0,68;61,04;14,39;9,19;10,65;0,41;0,62;3082;16,20;24,30;39,70;54,80
19.04.2023;20,71;5,76;3,58;66,58;1,04;0,54;0,08;1165;0,84;63,44;11,54;9,21;10,89;0,44;0,66;3059;16,00;25,70;39,90;50,90
20.04.2023;;;;;;;;;;;;;;;;;;;;
21.04.2023;;;;;;;;;;;;;;;;;;;;
22.04.2023;;;;;;;;;;;;;;;;;;;;
23.04.2023;;;;;;;;;;;;;;;;;;;;
24.04.2023;;;;;;;;;;;;;;;;;;;;
25.04.2023;;;;;;;;;;;;;;;;;;;;
26.04.2023;;;;;;;;;;;;;;;;;;;;
27.04.2023;;;;;;;;;;;;;;;;;;;;
28.04.2023;;;;;;;;;;;;;;;;;;;;
29.04.2023;;;;;;;;;;;;;;;;;;;;
30.04.2023;;;;;;;;;;;;;;;;;;;;
01.05.2023;;;;;;;;;;;;;;;;;;;;
02.05.2023;;;;;;;;;;;;;;;;;;;;
03.05.2023;;;;;;;;;;;;;;;;;;;;
04.05.2023;;;;;;;;;;;;;;;;;;;;
05.05.2023;;;;;;;;;;;;;;;;;;;;
06.05.2023;;;;;;;;;;;;;;;;;;;;
07.05.2023;;;;;;;;;;;;;;;;;;;;
08.05.2023;;;;;;;;;;;;;;;;;;;;
09.05.2023;;;;;;;;;;;;;;;;;;;;
10.05.2023;;;;;;;;;;;;;;;;;;;;
11.05.2023;;;;;;;;;;;;;;;;;;;;
12.05.2023;;;;;;;;;;;;;;;;;;;;
13.05.2023;;;;;;;;;;;;;;;;;;;;
14.05.2023;21,22;5,58;3,49;66,08;1,19;0,54;0,11;1198;0,53;59,70;15,82;8,89;10,62;0,47;0,71;3072;13,90;22,60;37,40;54,20
15.05.2023;21,32;5,62;3,49;66,23;0,99;0,55;0,09;1248;0,54;59,81;16,02;8,99;10,62;0,45;0,69;3010;13,90;23,00;37,40;56,40
16.05.2023;21,32;5,65;3,44;66,32;0,92;0,55;0,08;1218;0,50;60,41;15,57;9,16;10,47;0,44;0,67;3062;13,40;22,50;36,70;56,40
17.05.2023;20,86;5,71;3,43;66,35;1,16;0,58;0,05;1187;0,59;62,59;12,61;9,33;10,44;0,43;0,66;3028;16,20;25,90;41,10;56,80
18.05.2023;21,15;5,65;3,46;66,36;1,01;0,56;0,07;1213;0,54;61,42;14,33;9,13;10,53;0,44;0,67;3018;15,90;24,80;41,30;59,60
19.05.2023;21,01;5,75;3,64;66,22;1,03;0,53;0,04;1180;0,51;61,05;14,20;9,09;11,08;0,39;0,59;3040;15,10;24,60;40,30;58,50
20.05.2023;21,17;5,58;3,48;66,46;0,99;0,56;0,04;1211;0,55;62,13;13,85;8,91;10,59;0,41;0,62;3018;15,20;24,60;39,70;58,10
21.05.2023;20,82;5,74;3,57;66,42;0,99;0,52;0,07;1208;0,48;63,71;11,65;9,18;10,86;0,41;0,63;3036;15,10;24,80;41,40;56,70
22.05.2023;21,11;5,75;3,58;66,10;1,10;0,50;0,04;1208;0,47;59,85;15,40;9,19;10,89;0,37;0,56;2990;14,10;22,70;38,40;58,40
23.05.2023;21,31;5,68;3,44;66,23;0,97;0,49;0,04;1239;0,47;59,90;15,93;9,24;10,47;0,36;0,55;3073;13,80;22,60;40,70;58,10
24.05.2023;21,28;5,66;3,46;66,19;1,02;0,53;0,04;1244;0,48;59,89;15,85;9,15;10,53;0,39;0,59;3080;14,80;23,70;43,20;59,30
25.05.2023;21,04;5,75;3,47;66,37;0,99;0,52;0,05;1247;0,58;61,50;13,95;9,37;10,56;0,39;0,60;3088;16,80;26,00;44,80;58,60
26.05.2023;21,14;5,70;3,43;66,36;0,95;0,54;0,06;1199;0,50;61,54;14,21;9,31;10,44;0,42;0,63;3049;15,60;25,80;43,80;59,20
27.05.2023;21,14;5,66;3,48;66,37;0,98;0,53;0,04;1214;0,55;61,48;14,25;9,12;10,59;0,39;0,59;3065;15,10;24,80;41,80;57,50
28.05.2023;21,07;5,64;3,51;66,57;0,93;0,50;0,05;1222;0,85;61,84;13,78;9,01;10,68;0,38;0,58;3010;14,40;26,00;41,30;55,60
29.05.2023;21,08;5,50;3,51;66,62;0,93;0,54;0,07;1217;0,60;63,93;12,23;8,64;10,68;0,43;0,65;3075;16,00;26,00;41,90;54,60
30.05.2023;20,97;5,66;3,47;66,57;0,98;0,51;0,04;1210;0,60;63,40;12,32;9,13;10,56;0,38;0,57;3052;15,70;24,70;39,10;55,50
31.05.2023;20,95;5,84;3,52;66,39;0,92;0,54;0,04;1235;0,60;61,71;13,53;9,53;10,71;0,40;0,60;2990;14,60;24,60;39,90;56,80
01.06.2023;21,06;5,81;3,45;66,57;0,81;0,50;0,08;1217;0,61;62,18;13,49;9,57;10,50;0,41;0,62;3016;14,90;25,40;42,00;56,50
02.06.2023;21,28;5,65;3,47;66,44;0,82;0,52;0,08;1209;0,50;61,45;14,68;9,11;10,56;0,42;0,64;3070;15,40;25,40;41,00;57,10
03.06.2023;21,17;5,64;3,55;66,75;0,68;0,47;0,08;1197;0,66;63,25;13,01;8,95;10,80;0,39;0,59;3005;16,30;25,30;40,50;54,80
04.06.2023;21,11;5,67;3,56;66,61;0,79;0,47;0,07;1182;0,61;62,81;13,17;9,01;10,83;0,38;0,58;2988;15,30;24,10;38,50;54,30
05.06.2023;21,38;5,71;3,62;66,40;0,65;0,43;0,14;1221;0,51;60,35;15,79;9,01;11,02;0,42;0,64;3061;15,20;25,40;40,50;58,50
06.06.2023;21,21;5,59;3,61;66,67;0,69;0,43;0,12;1198;0,57;63,20;13,15;8,71;10,99;0,40;0,61;3058;15,10;25,10;41,40;57,30
07.06.2023;21,36;5,58;3,61;66,54;0,68;0,44;0,10;1215;0,59;61,55;14,83;8,69;10,99;0,39;0,59;3033;14,30;23,70;38,90;53,20
08.06.2023;21,18;5,55;3,63;66,54;0,93;0,48;0,09;1206;0,57;62,46;13,63;8,57;11,05;0,41;0,62;3023;15,40;24,10;40,60;57,40
09.06.2023;21,25;5,74;3,68;66,41;0,79;0,50;0,04;1233;0,50;60,73;15,13;8,99;11,20;0,37;0,56;3050;14,70;24,00;38,90;56,40
10.06.2023;20,98;5,66;3,68;66,52;0,91;0,52;0,05;1207;0,58;63,10;12,57;8,78;11,20;0,39;0,60;2974;15,00;24,30;39,90;54,60
11.06.2023;20,86;5,55;3,73;66,56;0,99;0,54;0,06;1228;0,61;64,50;11,18;8,40;11,35;0,42;0,63;3026;16,00;25,60;40,70;56,00
12.06.2023;20,93;5,57;3,76;66,58;0,95;0,51;0,04;1245;0,65;63,82;11,89;8,41;11,44;0,38;0,57;2994;15,30;25,40;41,00;56,60
13.06.2023;21,23;5,68;3,71;66,19;0,97;0,51;0,04;1226;0,51;59,80;15,78;8,78;11,29;0,38;0,57;2997;15,60;23,50;38,00;53,50
14.06.2023;21,22;5,69;3,64;66,41;0,82;0,49;0,05;1213;0,55;61,07;14,79;8,93;11,08;0,37;0,57;2997;15,00;25,00;39,20;55,20
15.06.2023;21,31;5,59;3,58;66,42;0,94;0,49;0,03;1234;0,52;60,96;15,13;8,76;10,89;0,35;0,54;2986;15,20;23,70;37,60;56,00
16.06.2023;21,40;5,63;3,60;66,27;0,86;0,50;0,10;1218;0,48;59,76;16,30;8,84;10,95;0,43;0,65;2990;13,90;22,40;37,00;54,40
17.06.2023;21,43;5,68;3,41;66,33;0,85;0,53;0,07;1216;0,55;59,45;16,61;9,29;10,38;0,42;0,64;3000;14,20;23,40;37,90;54,00
18.06.2023;21,37;5,76;3,44;66,38;0,83;0,54;0,05;1194;0,52;59,71;16,24;9,45;10,47;0,41;0,62;3026;14,10;23,60;37,50;53,20
19.06.2023;21,25;5,77;3,45;66,48;0,81;0,53;0,06;1243;0,53;60,97;14,96;9,46;10,50;0,41;0,62;3019;16,60;25,10;40,50;58,20
20.06.2023;21,10;5,72;3,40;66,64;0,87;0,51;0,10;1248;0,53;62,99;13,00;9,41;10,35;0,44;0,66;3012;15,60;24,60;40,20;56,00
21.06.2023;21,09;5,79;3,39;66,63;0,87;0,51;0,04;1238;0,55;62,49;13,35;9,61;10,32;0,38;0,57;3090;16,00;24,20;40,40;56,50
22.06.2023;21,21;5,76;3,43;66,46;0,89;0,52;0,04;1189;0,56;60,93;14,86;9,47;10,44;0,38;0,58;3018;15,60;23,90;40,70;55,30
23.06.2023;21,31;5,67;3,33;66,35;1,05;0,55;0,07;1202;0,53;60,14;15,75;9,40;10,13;0,43;0,66;3033;15,50;24,50;41,40;56,70
24.06.2023;21,21;5,62;3,25;66,58;1,12;0,54;0,06;1232;0,54;62,05;14,03;9,40;9,89;0,42;0,63;3092;15,50;25,10;43,30;57,20
25.06.2023;21,18;5,71;3,31;66,66;0,92;0,50;0,07;1191;0,61;62,20;13,83;9,54;10,07;0,40;0,61;3063;15,80;25,30;42,70;58,70
26.06.2023;21,33;5,53;3,43;66,57;0,97;0,50;0,08;1190;0,64;61,46;14,81;8,86;10,44;0,41;0,62;3080;15,00;25,30;43,10;59,30
27.06.2023;20,79;5,43;3,76;66,85;0,95;0,50;0,10;1170;0,69;66,76;9,27;8,04;11,44;0,43;0,65;3053;15,10;25,40;43,30;56,80
28.06.2023;20,87;5,41;3,71;66,89;0,90;0,52;0,06;1189;0,67;66,74;9,51;8,07;11,29;0,40;0,61;3020;16,50;26,80;43,10;57,50
29.06.2023;21,08;5,63;3,68;66,49;0,84;0,54;0,07;1235;0,54;62,78;13,10;8,70;11,20;0,43;0,65;3090;15,30;26,10;43,60;57,50
30.06.2023;21,02;5,66;3,62;66,56;0,94;0,48;0,04;1183;0,54;63,12;12,67;8,88;11,02;0,36;0,54;2990;14,00;25,00;40,80;56,70
01.07.2023;21,10;5,66;3,63;66,31;0,96;0,52;0,06;1165;0,64;61,02;14,48;8,86;11,05;0,40;0,61;3021;14,00;23,40;40,10;55,50
